h;s;l;emotion
45;100;70;радость
30;80;60;радость
0;100;50;гнев
0;80;30;гнев
0;50;15;гнев
210;30;50;грусть
240;20;70;грусть
0;0;80;грусть
120;20;40;страх
0;0;20;страх
180;50;70;удивление
270;50;80;удивление
0;89;29;гнев
0;89;16;гнев
49;89;16;страх
91;89;6;страх
199;89;16;грусть
217;89;16;грусть
250;89;16;грусть
360;89;16;гнев
122;89;27;страх
172;89;27;удивление
203;89;27;грусть
231;89;27;грусть
267;89;27;грусть
294;89;27;грусть
347;89;27;гнев
354;89;27;гнев
360;100;32;гнев
344;100;32;гнев
317;100;32;удивление
302;100;32;удивление
314;100;32;удивление
292;100;32;грусть
280;100;32;грусть
269;100;32;грусть
261;100;32;грусть
248;100;32;грусть
233;100;32;грусть
219;100;32;грусть
206;100;32;грусть
192;100;32;удивление
186;100;32;удивление
175;100;32;удивление
166;100;32;удивление
151;100;32;удивление
125;100;32;радость
101;100;32;радость
85;100;32;радость
69;100;32;страх
51;100;32;страх
37;100;32;страх
22;100;32;страх
6;100;32;гнев
0;100;32;гнев
0;94;38;гнев
10;100;32;страх
19;100;32;страх
32;100;32;страх
46;100;32;страх
61;100;32;страх
61;100;32;страх
84;100;32;радость
102;100;32;радость
116;100;32;радость
130;100;32;радость
151;100;32;удивление
168;100;32;удивление
172;100;32;удивление
180;100;32;удивление
192;100;32;удивление
204;100;32;грусть
212;100;32;грусть
221;100;32;грусть
230;100;32;грусть
239;100;32;грусть
248;100;32;грусть
260;100;32;грусть
269;100;32;грусть
281;100;32;грусть
295;100;32;удивление
306;100;32;удивление
314;100;32;удивление
326;100;32;удивление
343;100;32;гнев
353;100;32;гнев
360;100;32;гнев
349;100;32;гнев
360;77;50;гнев
353;77;50;гнев
339;77;50;удивление
331;77;50;удивление
322;77;50;удивление
314;77;50;удивление
304;77;50;удивление
294;77;50;удивление
284;77;50;удивление
273;77;50;грусть
261;77;50;грусть
244;77;50;грусть
230;77;50;грусть
220;77;50;грусть
213;77;50;удивление
203;77;50;удивление
192;77;50;удивление
182;77;50;удивление
170;77;50;удивление
163;77;50;удивление
158;77;50;удивление
148;77;50;радость
138;77;50;радость
132;77;50;радость
119;77;50;радость
108;77;50;радость
102;77;50;радость
95;77;50;радость
86;77;50;радость
77;77;50;радость
70;77;50;радость
65;77;50;радость
57;77;50;радость
49;77;50;радость
41;77;50;радость
35;77;50;радость
29;77;50;радость
18;77;50;радость
6;77;50;гнев
0;77;50;гнев
0;83;60;радость
6;83;60;радость
13;83;60;радость
20;83;60;радость
24;83;60;радость
28;83;60;радость
32;83;60;радость
35;83;60;радость
40;83;60;радость
43;83;60;радость
48;83;60;радость
52;83;60;радость
57;83;60;радость
64;83;60;радость
69;83;60;радость
76;83;60;радость
81;83;60;радость
88;83;60;радость
92;83;60;радость
98;83;60;радость
105;83;60;радость
109;83;60;радость
115;83;60;радость
119;83;60;радость
122;83;60;радость
126;83;60;радость
130;83;60;радость
134;83;60;радость
139;83;60;радость
142;83;60;радость
146;83;60;радость
149;83;60;радость
153;83;60;радость
158;83;60;радость
160;83;60;радость
164;83;60;радость
169;83;60;радость
173;83;60;радость
179;83;60;радость
184;83;60;радость
189;83;60;радость
193;83;60;радость
197;83;60;радость
201;83;60;радость
206;83;60;радость
209;83;60;радость
211;83;60;радость
215;83;60;радость
219;83;60;радость
223;83;60;радость
228;83;60;радость
230;83;60;грусть
232;83;60;грусть
235;83;60;грусть
239;83;60;грусть
241;83;60;грусть
244;83;60;грусть
248;83;60;грусть
250;83;60;грусть
253;83;60;грусть
257;83;60;грусть
230;83;60;грусть
233;83;60;удивление
239;83;60;удивление
242;83;60;удивление
248;83;60;удивление
250;83;60;удивление
253;83;60;удивление
257;83;60;удивление
260;83;60;удивление
264;83;60;удивление
268;83;60;удивление
270;83;60;удивление
272;83;60;удивление
275;83;60;удивление
279;83;60;удивление
282;83;60;удивление
286;83;60;удивление
289;83;60;удивление
291;83;60;удивление
295;83;60;удивление
299;83;60;удивление
302;83;60;удивление
306;83;60;удивление
309;83;60;удивление
311;83;60;удивление
314;83;60;удивление
315;83;60;радость
317;83;60;радость
319;83;60;радость
321;83;60;радость
323;83;60;радость
325;83;60;радость
327;83;60;радость
329;83;60;радость
331;83;60;радость
333;83;60;радость
335;83;60;радость
337;83;60;радость
339;83;60;радость
341;83;60;радость
343;83;60;радость
345;83;60;радость
347;83;60;радость
349;83;60;радость
351;83;60;радость
353;83;60;радость
355;83;60;радость
357;83;60;радость
359;83;60;радость
0;83;60;радость
3;83;60;радость
6;83;60;радость
9;83;60;радость
12;83;60;радость
15;83;60;радость
18;83;60;радость
21;83;60;радость
24;83;60;радость
27;83;60;радость
30;83;60;радость
33;83;60;радость
36;83;60;радость
39;83;60;радость
42;83;60;радость
45;83;60;радость
48;83;60;радость
51;83;60;радость
54;83;60;радость
57;83;60;радость
60;83;60;радость
63;83;60;радость
66;83;60;радость
69;83;60;радость
72;83;60;радость
75;83;60;радость
78;83;60;радость
81;83;60;радость
84;83;60;радость
87;83;60;радость
90;83;60;радость
93;83;60;радость
96;83;60;радость
99;83;60;радость
102;83;60;радость
105;83;60;радость
108;83;60;радость
111;83;60;радость
114;83;60;радость
117;83;60;радость
120;83;60;радость
123;83;60;радость
126;83;60;радость
129;83;60;радость
132;83;60;радость
135;83;60;радость
138;83;60;радость
141;83;60;радость
144;83;60;радость
147;83;60;радость
150;83;60;удивление
153;83;60;удивление
156;83;60;удивление
159;83;60;удивление
162;83;60;удивление
165;83;60;удивление
168;83;60;удивление
171;83;60;удивление
174;83;60;удивление
177;83;60;удивление
180;83;60;удивление
183;83;60;удивление
186;83;60;удивление
189;83;60;удивление
190;83;60;грусть
192;83;60;грусть
194;83;60;грусть
196;83;60;грусть
198;83;60;грусть
200;83;60;грусть
202;83;60;грусть
204;83;60;грусть
206;83;60;грусть
208;83;60;грусть
210;83;60;грусть
212;83;60;грусть
214;83;60;грусть
216;83;60;грусть
218;83;60;грусть
220;83;60;грусть
222;83;60;грусть
224;83;60;грусть
226;83;60;грусть
228;83;60;грусть
230;83;60;грусть
232;83;60;грусть
234;83;60;грусть
235;83;60;грусть
237;83;60;грусть
239;83;60;грусть
241;83;60;грусть
243;83;60;грусть
245;83;60;грусть
247;83;60;грусть
249;83;60;грусть
251;83;60;грусть
253;83;60;грусть
255;83;60;грусть
257;83;60;грусть
259;83;60;грусть
261;83;60;грусть
263;83;60;грусть
265;83;60;удивление
267;83;60;удивление
269;83;60;удивление
271;83;60;удивление
273;83;60;удивление
275;83;60;удивление
277;83;60;удивление
279;83;60;удивление
281;83;60;удивление
283;83;60;удивление
285;83;60;удивление
287;83;60;удивление
289;83;60;удивление
291;83;60;удивление
293;83;60;удивление
295;83;60;удивление
297;83;60;удивление
299;83;60;удивление
301;83;60;удивление
303;83;60;удивление
305;83;60;радость
307;83;60;радость
309;83;60;радость
311;83;60;радость
313;83;60;радость
315;83;60;радость
317;83;60;радость
319;83;60;радость
321;83;60;радость
323;83;60;радость
325;83;60;радость
327;83;60;радость
329;83;60;радость
331;83;60;радость
333;83;60;радость
335;83;60;радость
337;83;60;радость
339;83;60;радость
341;83;60;радость
343;83;60;радость
345;83;60;радость
347;83;60;радость
349;83;60;радость
351;83;60;радость
353;83;60;радость
355;83;60;радость
357;83;60;радость
359;83;60;радость
0;93;68;радость
3;93;68;радость
6;93;68;радость
9;93;68;радость
12;93;68;радость
15;93;68;радость
18;93;68;радость
21;93;68;радость
24;93;68;радость
27;93;68;радость
30;93;68;радость
33;93;68;радость
36;93;68;радость
39;93;68;радость
42;93;68;радость
45;93;68;радость
48;93;68;радость
51;93;68;радость
54;93;68;радость
57;93;68;радость
60;93;68;радость
63;93;68;радость
66;93;68;радость
69;93;68;радость
72;93;68;радость
75;93;68;радость
78;93;68;радость
81;93;68;радость
84;93;68;радость
87;93;68;радость
90;93;68;радость
93;93;68;радость
96;93;68;радость
99;93;68;радость
102;93;68;радость
105;93;68;радость
108;93;68;радость
111;93;68;радость
114;93;68;радость
117;93;68;радость
120;93;68;радость
123;93;68;радость
126;93;68;радость
129;93;68;радость
132;93;68;радость
135;93;68;радость
138;93;68;радость
141;93;68;радость
144;93;68;радость
147;93;68;радость
150;93;68;радость
153;93;68;радость
156;93;68;радость
159;93;68;радость
162;93;68;радость
165;93;68;радость
168;93;68;радость
170;93;68;удивление
172;93;68;удивление
174;93;68;удивление
176;93;68;удивление
178;93;68;удивление
180;93;68;удивление
182;93;68;удивление
184;93;68;удивление
185;93;68;радость
187;93;68;радость
189;93;68;радость
191;93;68;радость
193;93;68;радость
195;93;68;радость
197;93;68;радость
199;93;68;радость
201;93;68;радость
203;93;68;радость
205;93;68;радость
207;93;68;радость
209;93;68;радость
211;93;68;радость
213;93;68;радость
215;93;68;радость
217;93;68;радость
219;93;68;радость
221;93;68;радость
223;93;68;радость
225;93;68;радость
227;93;68;радость
229;93;68;радость
231;93;68;радость
233;93;68;радость
235;93;68;радость
237;93;68;радость
239;93;68;радость
241;93;68;радость
243;93;68;радость
245;93;68;радость
247;93;68;радость
249;93;68;радость
251;93;68;радость
253;93;68;радость
255;93;68;радость
257;93;68;радость
259;93;68;радость
261;93;68;радость
263;93;68;радость
265;93;68;радость
267;93;68;радость
269;93;68;радость
271;93;68;радость
273;93;68;радость
275;93;68;радость
277;93;68;радость
279;93;68;радость
281;93;68;радость
283;93;68;радость
285;93;68;радость
287;93;68;радость
289;93;68;радость
291;93;68;радость
293;93;68;радость
295;93;68;радость
297;93;68;радость
299;93;68;радость
301;93;68;радость
303;93;68;радость
305;93;68;радость
307;93;68;радость
309;93;68;радость
311;93;68;радость
313;93;68;радость
315;93;68;радость
317;93;68;радость
319;93;68;радость
321;93;68;радость
323;93;68;радость
325;93;68;радость
327;93;68;радость
329;93;68;радость
331;93;68;радость
333;93;68;радость
335;93;68;радость
337;93;68;радость
339;93;68;радость
341;93;68;радость
343;93;68;радость
345;93;68;радость
347;93;68;радость
349;93;68;радость
351;93;68;радость
353;93;68;радость
355;93;68;радость
357;93;68;радость
359;93;68;радость
0;100;72;радость
2;100;72;радость
4;100;72;радость
6;100;72;радость
8;100;72;радость
10;100;72;радость
12;100;72;радость
14;100;72;радость
16;100;72;радость
18;100;72;радость
20;100;72;радость
22;100;72;радость
24;100;72;радость
26;100;72;радость
28;100;72;радость
30;100;72;радость
32;100;72;радость
34;100;72;радость
36;100;72;радость
38;100;72;радость
40;100;72;радость
42;100;72;радость
44;100;72;радость
46;100;72;радость
48;100;72;радость
50;100;72;радость
52;100;72;радость
54;100;72;радость
56;100;72;радость
58;100;72;радость
60;100;72;радость
62;100;72;радость
64;100;72;радость
66;100;72;радость
68;100;72;радость
70;100;72;радость
72;100;72;радость
74;100;72;радость
76;100;72;радость
78;100;72;радость
80;100;72;радость
82;100;72;радость
84;100;72;радость
86;100;72;радость
88;100;72;радость
90;100;72;радость
92;100;72;радость
94;100;72;радость
96;100;72;радость
98;100;72;радость
100;100;72;радость
102;100;72;радость
104;100;72;радость
106;100;72;радость
108;100;72;радость
110;100;72;радость
112;100;72;радость
114;100;72;радость
116;100;72;радость
118;100;72;радость
120;100;72;радость
122;100;72;радость
124;100;72;радость
126;100;72;радость
128;100;72;радость
130;100;72;радость
132;100;72;радость
134;100;72;радость
136;100;72;радость
138;100;72;радость
140;100;72;радость
142;100;72;радость
144;100;72;радость
146;100;72;радость
148;100;72;радость
150;100;72;радость
152;100;72;радость
154;100;72;радость
156;100;72;радость
158;100;72;радость
160;100;72;радость
162;100;72;радость
164;100;72;радость
166;100;72;радость
168;100;72;радость
170;100;72;радость
172;100;72;радость
174;100;72;радость
176;100;72;радость
178;100;72;радость
180;100;72;радость
182;100;72;радость
184;100;72;радость
186;100;72;радость
188;100;72;радость
190;100;72;радость
192;100;72;радость
194;100;72;радость
196;100;72;радость
198;100;72;радость
200;100;72;радость
202;100;72;радость
204;100;72;радость
206;100;72;радость
208;100;72;радость
210;100;72;радость
212;100;72;радость
214;100;72;радость
216;100;72;радость
218;100;72;радость
220;100;72;радость
222;100;72;радость
224;100;72;радость
226;100;72;радость
228;100;72;радость
230;100;72;радость
232;100;72;радость
234;100;72;радость
236;100;72;радость
238;100;72;радость
240;100;72;радость
242;100;72;радость
244;100;72;радость
246;100;72;радость
248;100;72;радость
